3.6736552740600543,3.745401188473625,9.50714306409916,7.319939418114051,5.986584841970366
2.3386251903627073,1.5601864044243652,1.5599452033620265,0.5808361216819946,8.661761457749352
1.813879855663276,6.011150117432088,7.080725777960454,0.20584494295802447,9.699098521619943
-17.197492591264623,8.324426408004218,2.1233911067827616,1.8182496720710062,1.8340450985343382
2.644510075478845,3.0424224295953772,5.247564316322379,4.319450186421157,2.9122914019804194
-14.994708171980978,6.118528947223795,1.3949386065204183,2.9214464853521815,3.663618432936917
3.040219403891152,4.56069984217036,7.851759613930136,1.9967378215835974,5.142344384136116
-19.04295900933848,5.924145688620425,0.46450412719997725,6.075448519014383,1.7052412368729153
11.433651510532544,0.6505159298527952,9.488855372533333,9.656320330745594,8.08397348116461
-8.928708016786668,3.0461376917337066,0.9767211400638387,6.842330265121569,4.4015249373960135
8.215134520035823,1.2203823484477883,4.951769101112702,0.34388521115218396,9.093204020787821
7.904686477857417,2.587799816000169,6.62522284353982,3.1171107608941098,5.200680211778108
-18.550322117778812,5.4671027934327965,1.8485445552552704,9.695846277645586,7.7513282336111455
-12.685083354080739,9.394989415641891,8.948273504276488,5.978999788110851,9.218742350231167
3.803758225767404,0.884925020519195,1.959828624191452,0.45227288910538066,3.2533033076326436
-12.172002285324673,3.8867728968948203,2.713490317738959,8.287375091519294,3.567533266935893
5.847836676565375,2.8093450968738076,5.426960831582485,1.4092422497476265,8.021969807540398
13.854076852654392,0.7455064367977082,9.868869366005173,7.722447692966574,1.987156815341724
11.792320788851793,0.05522117123602399,8.154614284548341,7.068573438476172,7.2900716804098735
-22.535794732807652,7.712703466859457,0.7404465173409036,3.5846572854427263,1.1586905952512971
-13.071269604030407,8.631034258755935,6.232981268275579,3.308980248526492,0.6355835028602363
-4.446467894312621,3.109823217156622,3.2518332202674705,7.29606178338064,6.3755747135521315
-14.620485136925199,8.872127425763265,4.722149251619493,1.195942459383017,7.13244787222995
-16.805884303817074,7.607850486168974,5.612771975694963,7.70967179954561,4.937955963643907
-3.6300199315457937,5.227328293819941,4.275410183585496,0.2541912674409519,1.0789142699330445
12.37413498107429,0.3142918568673425,6.364104112637804,3.143559810763267,5.085706911647028
-25.034309996717727,9.07566473926093,2.4929222914887497,4.103829230356297,7.555511385430487
-4.274543950955766,2.2879816549162246,0.7697990982879299,2.8975145291376805,1.6122128725400442
-14.28477946839989,9.29697652342573,8.08120379564417,6.334037565104235,8.714605901877178
-24.602751326919925,8.036720768991145,1.8657005888603584,8.925589984899778,5.393422419156507
-3.6313567919800267,8.074401551640625,8.960912999234932,3.1800347497186388,1.1005192452767676
-1.3408744275777327,2.279351625419417,4.271077886262563,8.18014765922493,8.607305832563434
9.565604491677682,0.06952130531190703,5.107473025775658,4.17411003148779,2.2210781047073027
-3.3760485104845808,1.198653673336828,3.3761517140362796,9.429097039125192,3.2320293202075523
1.4434421258867003,5.187906217433661,7.030189588951778,3.63629602379294,9.717820827209607
-24.74803077356725,9.624472949421111,2.5178229582536416,4.972485058923855,3.0087830981676964
-9.884163141887106,2.848404943774676,0.36886947354532795,6.095643339798968,5.026790232288615
-1.0758215806373217,0.5147875124998935,2.7864646423661146,9.082658859666537,2.395618906669724
-0.21379018480846865,1.448948720912231,4.89452760277563,9.856504541106007,2.4205527151150044
-3.4451278039638282,6.721355474058786,7.616196153287175,2.3763754399239967,7.282163486118596
-1.290978737354444,3.677831327192532,6.3230583059357945,6.335297107608947,5.357746840747585
14.244562404298758,0.902897700544083,8.35302495589238,3.2078006497173583,1.8651851039985423
7.786373606772375,0.40775141554763916,5.908929431882418,6.775643618422825,0.16587828927856152
-13.826285255957885,5.12093058299281,2.2649577519793795,6.451727904094499,1.7436642900499144
-19.07219567766628,6.90937738102466,3.867353463005374,9.367299887367345,1.3752094414599325
-13.094252668255896,3.410663510502585,1.1347352124058907,9.246936182785628,8.77339353380981
1.0397848779118912,2.579416277151556,6.59984046034179,8.172222002012159,5.5520081159946235
-6.470534064567932,5.296505783560065,2.418522909004517,0.9310276780589921,8.972157579533267
-16.388288192568442,9.004180571633304,6.33101457273268,3.390297910487007,3.492095746126609
-7.608023802325773,7.259556788702394,8.971102599525771,8.870864242651173,7.798755458576238
-13.939366491290892,6.420316461542877,0.8413996499504883,1.6162871409461377,8.985541885270793
-17.090401400832498,6.0642905965958995,0.09197051616629648,1.014715428660321,6.635017691080558
1.2412069771941296,0.05061583846218687,1.6080805141749865,5.487337893665861,6.918951976926932
-18.564312184463006,6.519612595026006,2.242693094605598,7.121792213475358,2.3724908749680007
1.2724887064974262,3.2539969815926773,7.464914051180242,6.496328990472147,8.49223410494178
-6.073101910142072,6.576128923003433,5.683086033354716,0.9367476782809248,3.6771580305943354
-9.913028578613709,2.6520236768172545,2.4398964337908358,9.730105547524456,3.930977246667604
-16.329440356429956,8.920465551771134,6.311386259972629,7.948113035416484,5.026370931051921
-4.466289626093864,5.769038846263591,4.925176938188639,1.952429877980445,7.224521152615053
